SSN,STATUS
666469746,APPROVED
666264078,APPROVED
666057762,APPROVED
666061500,APPROVED
666345660,APPROVED
666221673,APPROVED
666189648,APPROVED
666399141,APPROVED
666525888,APPROVED
666551847,APPROVED
666349164,APPROVED
666606684,APPROVED
666662430,APPROVED
666333411,APPROVED
666322071,APPROVED
666581046,APPROVED
666668265,APPROVED
666493830,APPROVED
666298881,APPROVED
666181314,APPROVED
666569883,APPROVED
666626652,APPROVED
666710562,APPROVED
666297369,APPROVED
666301926,APPROVED
666644172,APPROVED
666428592,APPROVED
666444663,APPROVED
666465249,APPROVED
666487251,APPROVED
666440634,APPROVED
666484599,APPROVED
666501339,APPROVED
666522402,APPROVED
666582957,APPROVED
666628389,APPROVED
666244935,APPROVED
666157137,APPROVED
666327291,APPROVED
666212346,APPROVED
666207339,APPROVED
666445185,APPROVED
666100911,APPROVED
666529407,APPROVED
666043482,APPROVED
666327981,APPROVED
666258618,APPROVED
666708849,APPROVED
666461079,APPROVED
666352518,APPROVED
666522735,APPROVED
666611394,APPROVED
666622587,APPROVED
666641340,APPROVED
666232053,APPROVED
666521958,APPROVED
666688644,APPROVED
666272073,APPROVED
666166038,APPROVED
666112383,APPROVED
666587646,APPROVED
666521808,APPROVED
666508800,APPROVED
666444405,APPROVED
666329523,APPROVED
666318312,APPROVED
666132483,APPROVED
666709701,APPROVED
666042318,APPROVED
666064749,APPROVED
666080250,APPROVED
666543375,APPROVED
666422925,APPROVED
666261711,APPROVED
666290424,APPROVED
666320475,APPROVED
666469428,APPROVED
666313254,APPROVED
666466011,APPROVED
666627669,APPROVED
666071367,APPROVED
666447456,APPROVED
666446547,APPROVED
666222852,APPROVED
666522162,APPROVED
666459708,APPROVED
666723321,APPROVED
666384588,APPROVED
666684069,APPROVED
666466869,APPROVED
666114774,APPROVED
666132087,APPROVED
666208140,APPROVED
666706938,APPROVED
666409116,APPROVED
666588465,APPROVED
666470247,APPROVED
666140739,APPROVED
666153813,APPROVED
666549657,APPROVED
666171069,APPROVED
666662892,APPROVED
666245379,APPROVED
666400359,APPROVED
666540633,APPROVED
666603495,APPROVED
666026310,APPROVED
666285075,APPROVED
666521895,APPROVED
666267384,APPROVED
666281811,APPROVED
666038019,APPROVED
666642009,APPROVED
666661860,APPROVED
666508638,APPROVED
666542349,APPROVED
666440421,APPROVED
666725250,APPROVED
666604239,APPROVED
666271530,APPROVED
666589779,APPROVED
666195135,APPROVED
666225483,APPROVED
666380133,APPROVED
666508680,APPROVED
666252615,APPROVED
666472683,APPROVED
666664608,APPROVED
666523653,APPROVED
666689913,APPROVED
666501279,APPROVED
666731826,APPROVED
666486921,APPROVED
666314172,APPROVED
666520833,APPROVED
666325725,APPROVED
666464964,APPROVED
666204594,APPROVED
666488985,APPROVED
666285156,APPROVED
666223884,APPROVED
666446613,APPROVED
666446709,APPROVED
666720153,APPROVED
666487419,APPROVED
666238077,APPROVED
666469632,APPROVED
666642216,APPROVED
666564417,APPROVED
666188988,APPROVED
666027492,APPROVED
666587007,APPROVED
666306558,APPROVED
666084234,APPROVED
666469098,APPROVED
666662361,APPROVED
666546666,APPROVED
666706758,APPROVED
666428622,APPROVED
666581349,APPROVED
666620382,APPROVED
666242082,APPROVED
666224679,APPROVED
666243324,APPROVED
666284847,APPROVED
666391323,APPROVED
666542397,APPROVED
666564762,APPROVED
666704916,APPROVED
666328767,APPROVED
666343902,APPROVED
666464943,APPROVED
666649296,APPROVED
666646182,APPROVED
666392208,APPROVED
666627879,APPROVED
666503055,APPROVED
666604491,APPROVED
666514407,APPROVED
666521655,APPROVED
666327822,APPROVED
666549474,APPROVED
666023679,APPROVED
666458583,APPROVED
666446091,APPROVED
666605226,APPROVED
666248910,APPROVED
666238758,APPROVED
666665880,APPROVED
666482580,APPROVED
666628035,APPROVED
666567807,APPROVED
666585963,APPROVED
666588087,APPROVED
666403416,APPROVED
666299682,APPROVED
666364743,APPROVED
666345213,APPROVED
666085797,APPROVED
