SSN,FICO V2 Score,FICO V3 Score,FICO V08 Score,Status
666381771,633,641,692,APPROVED
666706758,739,731,756,APPROVED
666327981,781,796,829,APPROVED
666487419,639,610,676,APPROVED
666461079,702,668,676,APPROVED
666422925,542,486,514,APPROVED
666644172,685,665,641,APPROVED
666345213,774,741,755,APPROVED
666508800,810,827,796,APPROVED
666195135,689,691,718,APPROVED
666482892,623,612,596,APPROVED
666428592,680,683,662,APPROVED
666549474,699,697,708,APPROVED
666469746,666,666,668,APPROVED
666587007,571,572,599,APPROVED
666281811,9001,9001,9001,APPROVED
666468873,717,707,716,APPROVED
666626652,547,479,487,APPROVED
666345837,578,541,582,APPROVED
666628035,650,648,603,APPROVED
666587646,693,670,611,APPROVED
666627669,832,820,814,APPROVED
666514407,547,542,597,APPROVED
666043482,709,675,643,APPROVED
666487251,602,643,639,APPROVED
666710562,691,683,689,APPROVED
666523653,626,579,611,APPROVED
666343902,636,649,676,APPROVED
666084234,742,693,733,APPROVED
666668265,721,691,692,APPROVED
666209418,9001,9001,9001,APPROVED
666023679,659,684,627,APPROVED
666606684,777,773,780,APPROVED
666423930,746,754,733,APPROVED
666171069,823,839,793,APPROVED
666459708,633,630,583,APPROVED
666380133,694,583,705,APPROVED
666546666,712,723,714,APPROVED
666508680,766,759,740,APPROVED
666258618,486,465,524,APPROVED
666549657,809,797,849,APPROVED
666588465,527,564,563,APPROVED
666542397,693,685,683,APPROVED
666153813,638,641,649,APPROVED
666320475,725,715,730,APPROVED
666140739,743,730,736,APPROVED
666540633,615,592,580,APPROVED
666261711,716,726,721,APPROVED
666027492,693,672,673,APPROVED
666232053,711,721,733,APPROVED
666184494,828,819,822,APPROVED
666642216,707,709,674,APPROVED
666665841,603,586,527,APPROVED
666551847,583,567,537,APPROVED
666100911,762,759,809,APPROVED
666467631,769,769,795,APPROVED
666604239,619,620,628,APPROVED
666628389,708,709,723,APPROVED
666580221,9003,9002,9002,APPROVED
666400359,757,717,734,APPROVED
666222852,788,796,760,APPROVED
666688644,768,761,770,APPROVED
666165801,592,599,609,APPROVED
666723321,623,615,647,APPROVED
666661836,759,753,764,APPROVED
666119499,717,727,665,APPROVED
666392208,794,782,800,APPROVED
666662361,595,593,566,APPROVED
666567807,733,714,751,APPROVED
666299682,645,640,581,APPROVED
666521655,711,708,706,APPROVED
666486921,674,659,606,APPROVED
666684069,724,706,758,APPROVED
666318312,711,710,745,APPROVED
666522894,589,612,615,APPROVED
666254265,497,545,556,APPROVED
666085797,614,575,644,APPROVED
666542349,622,629,635,APPROVED
666384474,645,629,642,APPROVED
666622587,730,700,739,APPROVED
666600348,778,808,797,APPROVED
666464964,806,804,814,APPROVED
666522162,775,791,790,APPROVED
666207339,822,811,799,APPROVED
666248910,627,581,539,APPROVED
666428592,819,789,827,APPROVED
666057762,732,695,700,APPROVED
666640113,593,566,592,APPROVED
666242082,667,658,704,APPROVED
666409116,754,752,755,APPROVED
666272073,711,706,697,APPROVED
666383550,721,718,751,APPROVED
666369975,757,762,756,APPROVED
666221673,9002,9002,9002,APPROVED
666661860,588,552,544,APPROVED
666664608,710,699,675,APPROVED
666244935,775,760,719,APPROVED
666175713,707,706,687,APPROVED
666440634,619,569,528,APPROVED
666604491,599,580,604,APPROVED
666446091,797,805,830,APPROVED
666322071,709,693,709,APPROVED
666158574,611,624,642,APPROVED
666157137,741,723,782,APPROVED
666038019,811,805,767,APPROVED
666285075,826,819,830,APPROVED
666440421,813,798,831,APPROVED
666445185,798,814,813,APPROVED
666238077,691,681,689,APPROVED
666080250,785,759,760,APPROVED
666404550,822,769,797,APPROVED
666391323,682,686,720,APPROVED
666465249,825,830,843,APPROVED
666569883,705,691,702,APPROVED
666327822,808,809,767,APPROVED
666731826,747,742,790,APPROVED
666252615,667,641,627,APPROVED
666446547,728,717,721,APPROVED
666704916,9002,9002,9002,APPROVED
666521958,699,717,707,APPROVED
666466011,618,597,600,APPROVED
666646182,659,656,515,APPROVED
666042318,727,687,683,APPROVED
666627879,708,696,656,APPROVED
666364743,803,808,815,APPROVED
666124359,811,803,794,APPROVED
666112383,783,806,802,APPROVED
666278235,672,679,680,APPROVED
666605226,575,555,593,APPROVED
666189648,9002,9002,9002,APPROVED
666620382,700,709,651,APPROVED
666238758,587,544,543,APPROVED
666267384,831,812,786,APPROVED
666399141,496,510,562,APPROVED
666589779,706,714,726,APPROVED
666418776,574,494,532,APPROVED
666581046,773,764,741,APPROVED
666508638,812,826,805,APPROVED
666709701,639,629,631,APPROVED
666469428,749,772,748,APPROVED
666489408,774,731,747,APPROVED
666268503,741,772,736,APPROVED
666444405,569,595,600,APPROVED
666458583,788,781,802,APPROVED
666603495,783,771,765,APPROVED
666224679,826,817,805,APPROVED
666482580,781,790,799,APPROVED
666446613,572,590,617,APPROVED
666469098,829,816,835,APPROVED
666328767,811,796,776,APPROVED
666444081,831,819,820,APPROVED
666188988,794,782,742,APPROVED
666564417,754,752,743,APPROVED
666298881,735,746,742,APPROVED
666326577,825,819,817,APPROVED
666225483,813,814,811,APPROVED
666493830,503,519,486,APPROVED
666522735,817,807,817,APPROVED
666725250,757,751,768,APPROVED
666489408,547,535,555,APPROVED
666212346,536,539,580,APPROVED
666581349,9002,9002,9002,APPROVED
666543375,710,705,688,APPROVED
666611394,771,776,798,APPROVED
666662892,809,807,830,APPROVED
666529053,780,771,764,APPROVED
666665880,614,578,584,APPROVED
666540393,822,805,795,APPROVED
666508173,778,762,745,APPROVED
666585963,667,660,639,APPROVED
666508680,746,759,738,APPROVED
666529407,698,700,619,APPROVED
666628218,806,806,817,APPROVED
666166038,9002,9002,9002,APPROVED
666061500,603,610,578,APPROVED
666708849,9002,9002,9002,APPROVED
666484599,781,782,783,APPROVED
666314172,676,701,651,APPROVED
666208140,657,647,641,APPROVED
666047943,712,728,718,APPROVED
666384588,804,796,789,APPROVED
666428622,758,736,808,APPROVED
666329283,797,788,778,APPROVED
666662430,595,557,565,APPROVED
666706938,694,756,756,APPROVED
666423639,673,665,655,APPROVED
666522402,745,764,802,APPROVED
666464943,679,690,677,APPROVED
666520833,628,641,632,APPROVED
666642009,692,698,680,APPROVED
666349164,718,668,682,APPROVED
666541224,649,601,642,APPROVED
666329523,776,756,796,APPROVED
666345660,676,697,680,APPROVED
666649296,681,662,651,APPROVED
666620787,770,777,768,APPROVED
666243324,831,819,812,APPROVED
666132483,761,774,775,APPROVED
666264078,555,510,592,APPROVED
666044733,732,743,747,APPROVED
666064749,808,794,801,APPROVED
666488985,757,696,734,APPROVED
666301926,830,812,832,APPROVED
666301926,830,812,832,APPROVED
666521895,702,686,674,APPROVED
666446709,646,629,625,APPROVED
666542397,658,663,653,APPROVED
666470247,593,606,514,APPROVED
666472683,795,776,766,APPROVED
666521808,757,778,771,APPROVED
666071367,757,759,769,APPROVED
666503055,704,617,717,APPROVED
666641340,786,772,768,APPROVED
666528021,746,760,716,APPROVED
666352518,9002,9002,9002,APPROVED
666582957,637,678,706,APPROVED
666447456,796,791,823,APPROVED
666422361,832,819,780,APPROVED
666204594,681,699,703,APPROVED
666466869,634,618,599,APPROVED
666540888,625,606,542,APPROVED
666284847,655,686,673,APPROVED
666588087,702,709,768,APPROVED
666525888,717,688,704,APPROVED
666285156,549,573,613,APPROVED
666368499,578,594,597,APPROVED
666501339,622,605,605,APPROVED
666026310,580,553,605,APPROVED
666245379,9002,9002,9002,APPROVED
666271530,573,553,546,APPROVED
666114774,674,700,698,APPROVED
666325725,664,685,681,APPROVED
666689913,720,708,736,APPROVED
666327291,785,813,777,APPROVED
666528315,659,637,666,APPROVED
666152286,540,565,560,APPROVED
666333411,678,679,687,APPROVED
